company,year,e,v,e.,e..,s.,s..,i,r,p.,s,y
ibm,2021,20727,0.085425014,-0.012294496,-1,-0.082184248,-0.6425536,0.0136,0.0036,-0.034046,129,0.084194736
ibm,2020,20985,0.061893223,0.239588871,-6,-0.039504658,-3,0.0229,0.0216,0.022889,119,-0.082184248
ibm,2019,16929,0.096549138,-0.044908322,0.23831162,-0.11051911,-2,0.0191,0.0179,0.029189,130,-0.039504658
ibm,2018,17725,0.077130374,-0.036265768,-1,0.053599502,-0.744623527,0.0211,0.01,0.022557,135,-0.11051911
ibm,2017,18392,0.078745089,0.27509706,0.371375969,-0.036942207,1,0.0207,0.0039,0.016675,152,0.053599502
ibm,2016,14424,0.070073518,0.200599301,-1,-0.144657834,7,0.0073,0.0013,0.027064,144,-0.036942207
ibm,2015,12014,0.060259771,-0.476034716,-3,-0.06166861,-1,0.0076,0.0009,0.022878,149,-0.144657834
ibm,2014,22929,0.054552158,0.207806574,-4,-0.007480018,-0.468269368,0.015,0.0011,0.018419,175,-0.06166861
ibm,2013,18984,0.037328183,-0.061869935,-0.511699548,0.154722481,0.381983153,0.0174,0.0014,0.022807,186,-0.007480018
ibm,2012,20236,0.065130356,-0.126704644,,0.290979064,-2,0.0296,0.001,0.015499,188,0.154722481
ibm,2011,23172,0.053272485,0.018325643,,0.210551817,-4,0.015,0.0018,0.027089,162,0.290979064
ibm,2010,22755,0.127022035,,,-0.371551069,0.652401204,0.0272,0.0016,-0.025999,126,0.210551817
ibm,2009,74023,0.030145539,,,0.133199431,6,0.0009,0.0192,0.001222,104,-0.371551069
jnj,2021,63278,0.046759955,0.064014394,-15,0.080609619,-0.559899281,0.0136,0.0036,-0.034046,165,0.133199431
jnj,2020,59471,0.035804873,-0.004702771,-0.306571738,0.010928126,-0.82784541,0.0229,0.0216,0.022889,146,0.080609619
jnj,2019,59752,0.058005732,-0.006781915,-0.95344425,0.024830966,0.015315559,0.0191,0.0179,0.029189,135,0.010928126
jnj,2018,60160,0.062723919,-0.145672981,13,0.144236443,-11,0.0211,0.01,0.022557,134,0.024830966
jnj,2017,70418,0.059988227,-0.010288124,-2,0.142060704,-1,0.0207,0.0039,0.016675,130,0.144236443
jnj,2016,71150,0.030776104,0.020042436,-1,-0.013622136,-0.371211771,0.0073,0.0013,0.027064,114,0.142060704
jnj,2015,69752,0.053375188,-0.058080024,-1,0.178342456,4,0.0076,0.0009,0.022878,100,-0.013622136
jnj,2014,74053,0.077346794,0.142334866,0.04886059,0.283628809,2,0.015,0.0011,0.018419,101,0.178342456
jnj,2013,64826,0.03669124,0.135704275,14,0.055449389,-0.778909478,0.0174,0.0014,0.022807,86,0.283628809
jnj,2012,57080,0.037962712,0.008854875,,0.017130082,-1,0.0296,0.001,0.015499,67,0.055449389
jnj,2011,56579,0.039745831,0.118427295,,0.077479946,28,0.015,0.0018,0.027089,63,0.017130082
jnj,2010,50588,0.072575862,,,-0.785796165,-1,0.0272,0.0016,-0.025999,62,0.077479946
jnj,2009,166542,0.095987352,,,-0.026933435,-0.09822011,0.0009,0.0192,0.001222,58,-0.785796165
msft,2022,141988,0.130138497,0.200196105,0.282463216,0.429671575,0.594680979,0.0704,0.0008,0.056711,270,-0.026933435
msft,2021,118304,0.116881229,0.156102805,-0.341601479,0.476470566,-0.255681742,0.0136,0.0036,-0.034046,277,0.429671575
msft,2020,102330,0.109427522,0.237094707,-5,0.298787389,0.312927017,0.0229,0.0216,0.022889,194,0.476470566
msft,2019,82718,0.079377539,-0.056925585,-1,0.401424238,0.653710974,0.0191,0.0179,0.029189,131,0.298787389
msft,2018,87711,0.096124355,0.218259094,-3,0.305747564,0.636201603,0.0211,0.01,0.022557,101,0.401424238
msft,2017,71997,0.070396479,-0.100970243,-0.065507439,0.184885732,-0.647130735,0.0207,0.0039,0.016675,72,0.305747564
msft,2016,80083,0.093733788,-0.108048205,-2,0.112996914,4,0.0073,0.0013,0.027064,55,0.184885732
msft,2015,89784,0.092020542,0.137312525,-0.275695802,0.320223169,-0.538273066,0.0076,0.0009,0.022878,47,0.112996914
msft,2014,78944,0.105206525,0.18957853,0.166132677,0.064640447,-4,0.015,0.0011,0.018419,42,0.320223169
msft,2013,66363,0.05659,0.162570292,-0.311818551,0.139997132,-1,0.0174,0.0014,0.022807,32,0.064640447
msft,2012,57083,0.047625872,0.236231727,,-0.047162028,-1,0.0296,0.001,0.015499,30,0.139997132
msft,2011,46175,0.088094014,0.167273371,,0.19278563,38,0.015,0.0018,0.027089,26,-0.047162028
msft,2010,39558,0.184814447,,,-0.876713002,-1,0.0272,0.0016,-0.025999,27,0.19278563
msft,2009,26612,0.251880457,,,-0.022400722,-0.197160214,0.0009,0.0192,0.001222,23,-0.876713002
nvda,2022,16893,0.297638543,0.384218289,0.254146491,1,-5,0.0704,0.0008,0.056711,187,-0.022400722
nvda,2021,12204,0.310504505,0.306358382,0.2233049,1,-1,0.0136,0.0036,-0.034046,191,1
nvda,2020,9342,0.12700348,0.250435015,-0.155642739,-0.295578801,-0.660325862,0.0229,0.0216,0.022889,95,1
nvda,2019,7471,0.098076123,0.296598403,0.025134002,0.644919213,0.443482862,0.0191,0.0179,0.029189,42,-0.295578801
nvda,2018,5762,0.259161888,0.289326471,24,2,8,0.0211,0.01,0.022557,60,0.644919213
nvda,2017,4469,0.368366473,0.011543685,-2,1,-0.564978915,0.0207,0.0039,0.016675,36,2
nvda,2016,4418,0.084847316,-0.008527828,-0.889321635,0.147266793,10,0.0073,0.0013,0.027064,13,1
nvda,2015,4456,0.052618869,-0.077050539,-1,0.338527944,-1,0.0076,0.0009,0.022878,5,0.147266793
nvda,2014,4828,0.087674486,0.1644959,-0.457760148,0.03038512,-2,0.015,0.0011,0.018419,5,0.338527944
nvda,2013,4146,0.083162655,0.303363722,0.566791317,-0.194565395,0.340911809,0.0174,0.0014,0.022807,4,0.03038512
