company,year,e,s,ec,sc,i,gdpc,ffr
intel,2013,58256,174.888,13.774.584,-3.941.999,146,184,11
intel,2012,51203,182.065,11.526.649,16.915.934,207,228,14
intel,2011,45911,155.723,-7.119.158,9.688.803,316,155,1
intel,2010,49430,141.968,18.525.801,2.507.753,164,271,18
intel,2009,41704,11.3504,#­DIV/0!,#­DIV/0!,-36,-26,16
cvs,2021,75381,802.368,8.149.094,32.865.262,47,567,8
cvs,2020,69701,603.896,8.619.293,8.082.723,123,-34,36
cvs,2019,64170,558.735,9.611.738,-10.762.742,181,229,216
cvs,2018,58543,626.123,5.530.707,-6.130.034,244,292,179
cvs,2017,37695,667.011,2.337.514,-14.673.597,213,226,1
cvs,2016,36834,781.717,-991.856,-7.030.205,126,167,39
cvs,2015,37203,840.829,-2.001.949,31.424.092,12,271,13
cvs,2014,37963,639.783,65.897,35.914.099,162,229,9
cvs,2013,37938,470.726,756.912,30.858.638,146,184,11
cvs,2012,37653,359.721,-1.045.965,28.292.634,207,228,14
cvs,2011,38051,280.391,931.035,1.193.611,316,155,1
cvs,2010,37700,250.492,5.401.476,4.452.617,164,271,18
cvs,2009,35768,239.814,#­DIV/0!,#­DIV/0!,-36,-26,16
berkshire,2021,514930,410.841.526,14.090.168,33.547.125,47,567,8
berkshire,2020,451336,307.637.865,5.313.805,-1.501.886,123,-34,36
berkshire,2019,428563,312.328.687,21.578.156,2.100.565,181,229,216
berkshire,2018,352500,305.902.996,155.134,16.434.185,244,292,179
berkshire,2017,351954,262.726.102,23.307.454,21.535.835,213,226,1
berkshire,2016,285428,216.171.719,10.362.801,2.655.022,126,167,39
berkshire,2015,258627,210.580.753,641.904,7.620.584,12,271,13
berkshire,2014,243027,195.669.588,8.259.795,1.835.243,162,229,9
berkshire,2013,224485,165.327.901,171.707,32.090.624,146,184,11
berkshire,2012,191588,125162.48,13.391.848,7.470.719,207,228,14
berkshire,2011,168961,116.461.937,3.699.044,-1.067.194,316,155,1
berkshire,2010,162934,117.718.218,19.994.108,25.522.739,164,271,18
berkshire,2009,135785,937.823.849,#­DIV/0!,#­DIV/0!,-36,-26,16
jnj,2021,74023,1.591.892,16.980.625,16.481.664,47,567,8
jnj,2020,63278,1.366.646,6.401.439,10.564.071,123,-34,36
jnj,2019,59471,1.236.067,-470.277,3.935.547,181,229,216
jnj,2018,59752,1.189.263,-678.192,5.170.429,244,292,179
jnj,2017,60160,1.130.796,-14.567.298,17.271.225,213,226,1
jnj,2016,70418,964.257,-1.028.812,17.284.231,126,167,39
jnj,2015,71150,822.154,2.004.244,1.711.703,12,271,13
jnj,2014,69752,808.318,-5.808.002,20.940.692,162,229,9
jnj,2013,74053,668.359,14.233.487,32.511.529,146,184,11
jnj,2012,64826,504.378,13.570.428,9.242.009,207,228,14
jnj,2011,57080,461.707,885.488,5.957.829,316,155,1
jnj,2010,56579,435.746,1.184.273,11.080.068,164,271,18
jnj,2009,50588,392.281,#­DIV/0!,#­DIV/0!,-36,-26,16
fdx,2022,24939,2.074.004,3.190.169,-20.570.999,77,26,146
fdx,2021,24168,2.611.142,32.101.667,44.370.307,47,567,8
fdx,2020,18295,1.808.642,3.029.791,13.997.993,123,-34,36
fdx,2019,17757,1.586.556,-8.544.499,-2.918.912,181,229,216
fdx,2018,19416,2.240.554,20.798.855,15.892.243,244,292,179
fdx,2017,16073,1.933.308,1.660.621,29.013.203,213,226,1
fdx,2016,13784,1.498.535,-8.063.763,-1.078.572,126,167,39
fdx,2015,14993,1.514.874,-1.859.004,11.263.931,12,271,13
fdx,2014,15277,1.361.514,-12.191.056,36.263.545,162,229,9
fdx,2013,17398,999.177,18.136.756,23.471.492,146,184,11
fdx,2012,14727,809.237,-3.239.159,467.985,207,228,14
fdx,2011,15220,773.059,10.202.013,1.886.134,316,155,1
fdx,2010,13811,758.748,1.357.699,35.557.283,164,271,18
fdx,2009,13626,559.725,#­DIV/0!,#­DIV/0!,-36,-26,16
chevron,2021,139940,981.846,5.435.258,25.014.292,47,567,8
chevron,2020,132726,785.387,-8.595.945,-22.828.319,123,-34,36
chevron,2019,145208,1.017.714,-6.703.846,3.461.969,181,229,216
chevron,2018,155642,98.366,4.234.558,12.014.139,244,292,179
chevron,2017,149319,878.157,1.770.014,16.110.108,213,226,1
chevron,2016,146722,756.314,-4.655.394,8.713.601,126,167,39
chevron,2015,153886,695.694,-1.475.757,-16.987.368,12,271,13
chevron,2014,156191,838.058,3.831.759,3.679.117,162,229,9
chevron,2013,150427,808.319,9.137.936,15.546.112,146,184,11
chevron,2012,137832,699.564,12.809.684,1.013.894,207,228,14
chevron,2011,122181,635.165,15.470.981,33.367.699,316,155,1
chevron,2010,105811,476.251,14.314.884,15.586.486,164,271,18
chevron,2009,92561,41.203,#­DIV/0!,#­DIV/0!,-36,-26,16
